year(dateGMT),dayofyear(dateGMT),avg(Carbon monoxide),avg(Sulfur dioxide),avg(Ozone),avg(Nitrogen dioxide (NO2)),features
2018,58,0.2898533951402751,0.48350815912291545,0.028285714423459833,12.158831591530088,"[0.10651612765040218,-0.13634784133633346,0.06349812524183143,0.25339157392742084]"
2017,104,0.22500480954081947,0.41510130967631276,0.036585347670390365,7.797666872676283,"[-0.1560999020968844,-0.19505817824828278,0.6091004455774848,-0.14524446016822457]"
2016,309,0.34037685048948646,0.6067819720007934,0.019162859098352414,12.674219392061804,"[0.3111199618014987,-0.030547806032408975,-0.5362212702273477,0.3005010417118061]"
2014,187,0.19104793446506033,0.7602268912742732,0.033134514728851115,5.090126176497457,"[-0.2936143849894044,0.10114665118718558,0.3822491614329913,-0.39272955987364355]"
2017,271,0.2676964596456621,0.5483069772313138,0.028202650116681736,9.608361797543497,"[0.016787625830759618,-0.08073410567365227,0.058037633534928246,0.02026367592343014]"
2014,214,0.23084599906605963,0.5514687374174164,0.033380574337605176,6.088061341062167,"[-0.13244495283407604,-0.07802051767387501,0.39842465852820924,-0.3015124328142434]"
2017,108,0.2050478280877738,0.3747166406715135,0.031720506999039624,6.608797811301263,"[-0.23691929370722484,-0.22971841391956718,0.2892949458183412,-0.25391406524796734]"
2017,20,0.31357238048352726,0.65779477894628,0.019057496945484708,12.361812672948219,"[0.2025704317327299,0.013234053632558924,-0.5431475805075567,0.27194523527920644]"
2015,112,0.23381180940688473,0.6083426001946308,0.03450882063127246,8.919513765782616,"[-0.12043436957322119,-0.029208393271907534,0.4725934533918413,-0.04270107436188316]"
2019,90,0.19745127909530075,0.26775563607085356,0.03762187198067634,5.7037293952495345,"[-0.26768288735761236,-0.32151794375242626,0.677239609315291,-0.33664262681784807]"
2019,115,0.16835833333333336,0.355,0.028779187979539655,8.142470238095237,"[-0.38550001226534764,-0.2466402664235329,0.09593815110936128,-0.11372741025281384]"
2018,152,0.18791929348834271,0.3898401506737193,0.03335799099968357,6.229957440451512,"[-0.3062843802439678,-0.2167386264464747,0.3969400722574231,-0.2885422970911706]"
2018,90,0.2659678651090836,0.33772325040202616,0.03309157682992068,8.140566801143175,"[0.009787370851522245,-0.2614680767648379,0.3794265045046929,-0.11390139555413507]"
2017,38,0.2739883245012678,0.7121674279826454,0.02329551631466678,11.13013066103741,"[0.04226766603227688,0.05989950555067421,-0.26454813729621574,0.1593622754170271]"
2018,14,0.29704743323652655,0.739201838794945,0.02257417667191695,10.824314363162738,"[0.1356496809148877,0.0831018512199496,-0.31196765224646383,0.1314088721393331]"
2016,201,0.1963401967141495,0.4884631203075976,0.02984410362525423,6.482860725269573,"[-0.27218241561968365,-0.1320952344279361,0.16594370797881602,-0.2654254535484829]"
2017,228,0.19814276294955419,0.4965325369373749,0.026568521472485722,6.37297814105186,"[-0.26488259892017396,-0.12516963892325025,-0.04938691806559421,-0.27546936622148144]"
